用户ID 用户昵称 用户头像地址 评论时间 点赞总数 评论内容
252642892 等伊人不觉发如雪 http://p1.music.126.net/dv7RT46JXkDlD_Noi2AUxg==/18594940650496278.jpg 1487034820768 6 高二喜欢的她，，她每条说说我全部点赞，评论，但一直只是和她聊天，不敢表白。一直就这样到了大二。突然有一天她的动态告诉我她要领证了，我想这个小逗比总喜欢和我开玩笑，没想到她真的成了别人的女朋友。后来渣男抛弃了她，她伤心了好久，希望她早日恢复，慢慢幸福[拜]
132386218 只是_不善言辞 http://p1.music.126.net/8pJVwFkSc4sI_VPk54FEng==/18605935766935980.jpg 1486998064733 0 还记得去了签售会买了专辑的当时
294950205 网名没有就这样 http://p1.music.126.net/xJXC7T6jTn2exMon70rjOw==/19204070090911072.jpg 1486821139907 0 毕业的时候不知道为什么听这首歌有很多感触
122887415 我稀罕你o http://p1.music.126.net/bLEwl-Qs7qQIH5GsliSYxw==/109951162859560610.jpg 1486818026742 1 不知道能不能看见单色凌火[哀伤]
358760836 智障缄默_ http://p1.music.126.net/8LfIYZAlgBkjDEEI5yzfSw==/18682901580627145.jpg 1486776582714 1 高一到大二   听起来依旧那么好听
114102464 我也不知道取什么好 http://p1.music.126.net/HeQm284suRR3ZbILL1q0NQ==/3223768096568802.jpg 1486745953322 1 今天无意间听到这首歌，摇了半天没摇到歌名，拼命听清两句歌词搜到的这首歌，很棒[憨笑]
134970521 情歌不上线 http://p1.music.126.net/Dgb-pF13z646hWOvwqqa0Q==/109951162812888340.jpg 1486722710593 1 没事儿，你还可以接触到他，看清他觉得他不好了那就不喜欢了没感觉了就自然了，觉得他更好了那就证明你眼光不错～િ😬ી
258227561 萧-穹-际 http://p1.music.126.net/TsFyCywUtCTjfYPjofiOuQ==/1368891981473109.jpg 1486644830107 2 我也是，高一上半学期，现在还在一个班[口罩]我感觉我要疯了[口罩]老尴尬了，先把高一熬过去吧[流泪]然后期待不要分到一个班[流泪]
310040463 想不起来起什么好 http://p1.music.126.net/ahVrT6yK2GELqs-YRckBYQ==/19122706230387258.jpg 1486633224508 1 现在得到了又有什么意义？
54426622 去你家玩好吗阿 http://p1.music.126.net/jf0y7lDdzEsbmpRjoNwrKQ==/3433774824912603.jpg 1486481704744 1 真的好听
342378555 骤雨待晴 http://p1.music.126.net/rJbuwZVUspnF8GFL_SriJA==/18603736742507764.jpg 1486479698857 2 小岁月太着急 总让人措手不及
389559504 Antennabb http://p1.music.126.net/JTefd3GepOOp1RKS0xJNxg==/109951162920723894.jpg 1485968915087 2 听着肯德基放的音乐来的.银川金凤万达.
287616887 吃猫的鱼000 http://p1.music.126.net/Bph10YGhKGvubtj-karK-A==/1424967084181541.jpg 1485869620731 2 这首歌为什么没火？
867335 我叫海洋像蓝天 http://p1.music.126.net/7mqLiRjbBm8Bm2ZN97vT4w==/2074778441638220.jpg 1485741992193 1 蛮好
262334930 shit_in_your_ass http://p1.music.126.net/ClGtugUWMAI0r0wdYonGHw==/1421668543470659.jpg 1485629780011 4 从你的字里行间看出你的年纪和素养  以后记得少干这种事  暴露智商
307137502 曾经的丶过往 http://p1.music.126.net/JYA2anJkAFqTyN-TmqEM6g==/19027048718745018.jpg 1485096787818 1 唉，想起了三年前 那时时空猎人最高战力才50w时每天早上凌晨5点一睁眼就拿手机放歌打每日的日子。。。现在走的都走了三年了没一个上过线的。如今我也退了，唉
127049639 吃车厘子 http://p1.music.126.net/_oiz4Weu7E5RAp_9YDIDVg==/18753270325253750.jpg 1484965765878 0 啦啦啦啦
